14 16 41836 964 20
12 12 30.386629
25 65 40.522387
32 54 10.173485
42 97 17.803875
71 86 11.028482
83 71 10.886738
52 2 23.484063
63 71 26.341550
35 97 40.853609
54 84 42.249393
85 90 38.948682
20 37 45.324763
87 86 7.863411
18 36 31.949613
0 13 42.663303 37.822374
0 2 17.556652 70.385794
1 9 39.270337 63.780372
1 4 15.996552 80.078650
2 11 6.809585 39.937414
2 10 8.187170 82.068381
2 3 14.178638 77.467264
4 12 10.756439 19.136576
4 5 40.188428 32.063854
5 6 43.632363 77.578610
7 12 12.307308 32.825897
7 11 31.476366 59.772431
7 9 45.372710 28.033230
8 12 27.597539 78.371557
8 10 31.589171 91.581994
10 12 17.141415 5.326059
