14 16 25160 1020 20
12 12 11.832043
25 65 49.136280
32 54 37.333236
42 97 48.946634
71 86 15.472315
83 71 21.763102
52 2 38.387695
63 71 38.640847
35 97 13.103037
54 84 32.991261
85 90 8.899932
20 37 33.941863
87 86 16.605907
18 36 27.795656
0 13 33.262643 39.789341
0 2 25.928997 79.562072
1 9 25.565184 55.410161
1 4 1.257246 93.448851
2 11 28.821200 34.795457
2 10 10.703932 119.220675
2 3 5.645908 50.235837
4 12 5.502459 23.774315
4 5 36.126777 28.254362
5 6 10.876404 82.661749
7 12 20.111054 48.154858
7 11 23.461107 90.602451
7 9 45.742543 18.578982
8 12 17.651833 60.009690
8 10 23.058275 80.461523
10 12 10.103844 8.537083
