14 16 6153 2669 20
12 12 31.410240
25 65 22.254842
32 54 33.881286
42 97 27.316004
71 86 18.907319
83 71 34.356361
52 2 16.851066
63 71 36.289194
35 97 30.324738
54 84 39.127274
85 90 8.558611
20 37 3.749947
87 86 7.263331
18 36 15.386056
0 13 46.373184 42.603304
0 2 15.821988 53.196430
1 9 3.339273 64.873702
1 4 29.687048 97.106836
2 11 0.121792 28.100894
2 10 4.908214 66.531557
2 3 27.551925 64.460465
4 12 20.937169 27.540211
4 5 17.473400 30.557269
5 6 13.418679 140.988148
7 12 12.099330 53.654487
7 11 11.640470 107.196409
7 9 28.099778 31.113183
8 12 6.947135 53.966853
8 10 8.031075 82.647960
10 12 17.956550 6.469677
