12 13 15494 821 20
63 85 44.790333
89 66 9.357226
57 26 18.995348
63 41 4.907966
42 11 17.765420
72 60 8.021844
19 21 44.033570
67 52 49.619563
21 55 36.885309
12 47 35.579909
8 53 5.448082
52 75 25.062060
0 11 13.771049 23.837361
0 10 17.892612 119.500774
0 8 26.290564 54.419930
1 11 46.629506 60.438549
1 8 24.352956 89.825057
1 5 17.888089 23.481002
1 4 44.021424 90.915742
1 3 16.001542 53.933720
2 4 47.555736 22.667197
3 7 48.217429 20.916585
6 10 8.346572 38.516243
7 9 24.678382 58.678917
9 10 47.158965 9.571789
