13 17 1224 956 20
93 57 12.771356
41 71 6.000755
57 70 13.626761
91 58 44.488514
54 58 49.499197
38 57 11.769490
91 9 4.849780
79 51 31.041178
5 54 1.794247
16 79 22.903308
49 93 42.799269
37 14 13.378092
82 11 24.684004
0 12 24.167618 84.594799
0 5 39.160332 61.731722
0 3 41.508697 3.337189
0 2 42.527359 59.641626
0 1 11.161309 67.316051
1 10 34.991030 40.713353
1 3 21.249404 79.719840
3 7 46.161743 20.009082
3 6 41.508311 89.201620
4 9 47.022816 51.173480
4 7 3.421612 28.627794
5 7 16.904562 79.991072
6 12 27.563191 10.744714
7 10 31.174700 70.916340
8 9 32.076900 38.436198
9 10 9.791933 40.047224
11 12 11.978451 50.732431
