12 13 31893 1160 20
63 85 9.728635
89 66 40.119912
57 26 39.580856
63 41 24.983576
42 11 33.802481
72 60 46.033118
19 21 17.421680
67 52 38.891743
21 55 48.259381
12 47 33.281046
8 53 8.738585
52 75 32.076031
0 11 35.525705 19.703821
0 10 23.225240 97.010876
0 8 19.400844 65.954923
1 11 7.172096 46.473613
1 8 34.393874 126.975249
1 5 15.417252 26.369553
1 4 31.511486 94.349379
1 3 22.304910 65.005573
2 4 12.651633 34.585471
3 7 41.247372 20.402261
6 10 26.734995 35.713511
7 9 36.574025 73.154473
9 10 33.652628 10.494767
