12 13 45234 551 20
63 85 44.832202
89 66 33.272333
57 26 25.074703
63 41 12.621168
42 11 18.080259
72 60 28.664472
19 21 29.273001
67 52 2.754904
21 55 32.908567
12 47 32.841456
8 53 0.017198
52 75 9.666812
0 11 13.216402 20.103679
0 10 36.609681 105.637952
0 8 2.100465 73.734262
1 11 37.990732 47.228288
1 8 7.716880 119.265898
1 5 16.824751 22.642239
1 4 48.392644 140.718895
1 3 1.895906 39.726980
2 4 47.592371 35.613576
3 7 28.774206 19.974452
6 10 10.401334 54.725752
7 9 48.944963 100.949490
9 10 20.668376 12.845253
