13 17 43730 1017 20
93 57 5.567469
41 71 13.744357
57 70 17.200917
91 58 32.736730
54 58 31.641134
38 57 12.952082
91 9 9.027039
79 51 40.652888
5 54 38.782921
16 79 18.078840
49 93 31.213192
37 14 13.330330
82 11 42.258227
0 12 3.332426 64.800201
0 5 1.463418 71.660189
0 3 17.463176 3.885271
0 2 37.458524 46.676008
0 1 15.713758 75.519710
1 10 5.581842 23.470107
1 3 29.808916 72.885751
3 7 4.840114 15.308122
3 6 23.076708 55.275966
4 9 20.148404 52.453821
4 7 43.144313 46.874869
5 7 3.229706 42.919749
6 12 42.442426 9.619922
7 10 20.250192 94.982705
8 9 5.342957 40.235119
9 10 42.159214 44.814657
11 12 27.654046 52.925065
