13 17 19111 1535 20
93 57 24.443815
41 71 13.769963
57 70 45.141886
91 58 38.868796
54 58 11.377611
38 57 23.218098
91 9 8.391920
79 51 34.930711
5 54 31.765300
16 79 27.346724
49 93 8.881194
37 14 38.224076
82 11 40.000643
0 12 4.160229 57.008375
0 5 22.649909 66.583918
0 3 45.969673 4.146673
0 2 7.298050 57.347704
0 1 39.368196 105.039101
1 10 23.882281 44.383490
1 3 44.975387 56.784555
3 7 14.649846 19.797191
3 6 30.264611 85.402752
4 9 0.915628 77.362852
4 7 27.962456 39.153331
5 7 48.624595 51.624523
6 12 47.223950 15.922960
7 10 13.701100 82.984803
8 9 18.613971 30.647996
9 10 16.371602 38.500817
11 12 14.232577 65.642167
